term,mean_tfidf,class_
moga,0.024165,positif
sangat,0.022418,positif
bagus,0.0194,positif
aplikasi,0.018027,positif
bantu,0.017376,positif
lancar,0.015763,positif
mudah,0.015002,positif
tidak,0.014886,positif
sirekap,0.014363,positif
mantap,0.013437,positif
login,0.013229,positif
masuk,0.013002,positif
emo_senang,0.012504,positif
guna,0.011842,positif
sangat bantu,0.011227,positif
baik,0.011168,positif
emo_lainnya,0.010632,positif
nya,0.009858,positif
milu,0.0085,positif
sukses,0.008489,positif
buka,0.007916,positif
update,0.007894,positif
baru,0.007787,positif
sekali,0.007672,positif
kpps,0.007666,positif
mohon,0.006952,positif
lebih,0.00688,positif
hari,0.006853,positif
cepat,0.006726,positif
versi,0.006552,positif
terus,0.006515,positif
belum,0.006514,positif
semangat,0.006453,positif
good,0.006407,positif
susah,0.006396,positif
kasih,0.006343,positif
kendala,0.006242,positif
tingkat,0.006095,positif
apk,0.006066,positif
emo_senang emo_senang,0.005791,positif
kpu,0.005524,positif
yg,0.005385,positif
coba,0.005287,positif
jadi,0.005263,positif
gagal,0.005206,positif
aplikasi sirekap,0.005048,positif
lupa,0.005028,positif
gak,0.005003,positif
password,0.004945,positif
aman,0.004904,positif
manfaat,0.004845,positif
hasil,0.004844,positif
rekap,0.004808,positif
terima kasih,0.004761,positif
terima,0.004717,positif
ga,0.004553,positif
alhamdulillah,0.004481,positif
cara,0.004417,positif
bintang,0.004414,positif
moga lancar,0.004386,positif
oke,0.004372,positif
sangat bagus,0.00437,positif
emo_lainnya emo_lainnya,0.004363,positif
jalan,0.00433,positif
terimakasih,0.004067,positif
pas,0.004035,positif
selalu,0.003941,positif
server,0.003932,positif
keren,0.00383,positif
kerja,0.003775,positif
buat,0.003707,positif
min,0.003682,positif
kurang,0.00366,positif
luar,0.003637,positif
pilkada,0.003607,positif
aplikasi sangat,0.003567,positif
data,0.00351,positif
pasword,0.003408,positif
kok,0.003404,positif
banyak,0.003356,positif
solusi,0.003347,positif
tidak guna,0.003297,positif
sering,0.003256,positif
