term,mean_tfidf,class_
mantap,0.013437,positif
sangat bantu,0.011227,positif
sukses,0.008489,positif
manfaat,0.004845,positif
oke,0.004372,positif
sangat bagus,0.00437,positif
keren,0.00383,positif
luar,0.003637,positif
pilkada,0.003607,positif
akurat,0.003052,positif
aplikasi bagus,0.002858,positif
moga hari,0.002769,positif
sukses milu,0.002758,positif
jaya,0.002701,positif
sedikit,0.002673,positif
sangat baik,0.002649,positif
moga tidak,0.002593,positif
smoga,0.002555,positif
luar biasa,0.002546,positif
maju,0.002516,positif
jalan lancar,0.00243,positif
lebih mudah,0.002399,positif
moga sukses,0.002308,positif
sangat manfaat,0.002113,positif
mudah guna,0.00207,positif
bantu sekali,0.002049,positif
alam,0.001964,positif
tarik,0.001948,positif
jos,0.001941,positif
tepat,0.00192,positif
bagus sekali,0.001911,positif
walaupun,0.001785,positif
moga aplikasi,0.001752,positif
bagus sangat,0.001748,positif
umum,0.001736,positif
normal,0.001723,positif
loding,0.001693,positif
dukung,0.00169,positif
awas,0.001689,positif
aktif,0.001672,positif
percaya,0.001666,positif
up,0.001665,positif
jujur,0.001597,positif
sangat mudah,0.001578,positif
sangat bantu sekali,0.001555,positif
inovasi,0.001538,positif
top,0.001526,positif
bismillah,0.001524,positif
lancar jaya,0.001496,positif
muas,0.001465,positif
hitung suara,0.001459,positif
sirekap sangat,0.001449,positif
tidak masalah,0.001426,positif
nice,0.00142,positif
stabil,0.001415,positif
bagus mudah,0.001413,positif
bagus emo_senang,0.001409,positif
ayo,0.001385,positif
moga manfaat,0.001382,positif
baguss,0.001366,positif
maintenance,0.001362,positif
paham,0.001359,positif
lupa pasword,0.001356,positif
bos,0.00135,positif
mantapp,0.001342,positif
ka,0.001327,positif
betul,0.001288,positif
aplikasi guna,0.001272,positif
batu,0.001267,positif
aplikasi mudah,0.001266,positif
gimana cara,0.001249,positif
pilpres,0.001248,positif
sirekap tidak,0.001248,positif
mudah kerja,0.001247,positif
alhamdulillah lancar,0.001243,positif
hari tidak,0.001239,positif
aplikasi sangat bagus,0.001228,positif
info,0.001211,positif
bagus aplikasi,0.001208,positif
test,0.001198,positif
lancar tidak,0.001189,positif
go,0.001181,positif
mudah lancar,0.001162,positif
otentikasi,0.00115,positif
operator,0.00115,positif
gx,0.001144,positif
moga jalan,0.001143,positif
lancar pas,0.00114,positif
ios,0.001133,positif
lebih cepat,0.001126,positif
rekapitulasi,0.00112,positif
tunjuk,0.00111,positif
baik sangat,0.00111,positif
sirekap mantap,0.001088,positif
sinyal,0.001086,positif
mantap aplikasi,0.001084,positif
moga bantu,0.001078,positif
joss,0.001075,positif
aamiin,0.001075,positif
lupa sandi,0.001073,positif
layan,0.001064,positif
moga lebih,0.00106,positif
mantul,0.001052,positif
no,0.001049,positif
kereeen,0.001043,positif
jurdil,0.001034,positif
bantu kerja,0.001033,positif
sangat penting,0.001033,positif
juang,0.001027,positif
an lancar,0.001025,positif
mudah an lancar,0.001025,positif
rating,0.001024,positif
feb,0.001017,positif
lola,0.001009,positif
moga mudah,0.001005,positif
transparansi,0.001003,positif
dlm,0.000998,positif
moga tidak kendala,0.000987,positif
mudah cepat,0.000986,positif
sertifikasi,0.000984,positif
aplikasi sangat bantu,0.000983,positif
sangat guna,0.000982,positif
