reviewId,user,review_text,rating,thumbs_up,reviewCreatedVersion,appVersion,review_date,replyContent,repliedAt
35fd099f-e115-4f0f-b95d-32de5f0fdd62,Bbirong Dan,"Aplikasi butut, herannya kpu dikasih waktu 5 tahun untuk buat ni aplikasi tapi hasilnya malah seadanya, kayak ga niat buat (lebih ke ""hemat budget"" mungkin). Gak bisa unggah foto dari galeri, kualitas foto jadi jelek banget + blur, gak ada flash, sudah diunggah suka minta foto ulang yang mana itu buat repot. Lain kali kalo diamanahkan untuk buat aplikasi tolong buatlah dengan sebaik mungkin, masukan dari teman"" yang sudah diulas tolong dipikirkan.",1,386,2.32,2.32,2024-02-26 20:47:32,,
09c34494-6046-470a-a946-9a376616f682,syahrul ramadhan,"Sebelumnya saya ingin mengapresiasi digitalisasi dlm aspek yg berkaitan dgn pemilu, tapi: 1.masalah log in, banyak error yg terjadi saat login melalui aplikasi, sementara melalui web tdk ada kendala, 2.dibuat panduan elektronik yg jelas berupa video terkait mengatasi permasalah login ini. Karena saat bimtek banyak yg tdk kebagian ikut meeting zoom. 3.hendaknya dilakukan pengujian jauh2 hari setidaknya 1 tahun sebelum peluncuran, jgn sampai yg bertujuan u mempermudah malah mempersulit. Ty",2,658,2.30,2.30,2024-02-01 12:45:55,,
cecae6f3-b000-42b3-aaa0-b13bbb7bcafe,Khoirul Tamam,"APLIKASI GAGAL. Suka nge bug, over akses bikin Lemot, kamera tidak bisa di fokuskan dan kualitas gambar tulisan jadi blur. Unggah gambar tulisan ""tunggu sesaat"" TAPI 3 hari blum selesai proses pengunggahannya. Cara pengaplikasianya cukup mudah. Tapi ya seperti tadi contohnya. Aplikasi PEMILU dari tahun 2019 sampe sekarang gak ada perubahan.",1,609,2.41,2.41,2024-02-16 19:29:00,,
ecef59a5-9700-4498-9926-6edf150b4d06,Purwanto “ipunk_pwt”,"Lebih ke kemampuan server juga si sepertinya...untuk aplikasi sejauh kemarin uji coba beban dengan mengupload sesuai kondisi pada hari H, agak membutuhkan waktu di pengunggahan berkas... Sebenarnya tampilan aplikasi ya gak jauh beda dengan pemilu kemarin, tapi kok ya ukurannya segajah, apalagi kalau sudah digunakan untuk login dan mengambil gambar, langsung bengkakl 2x lipatnya. Secar keseluruhan kinerjanya sudah bagus, hanya tolong dikondisikan saat hari H agar servernya bisa mengakomodir",5,0,,,2024-11-20 17:03:36,,
e36391d8-6e1e-4c4a-b9ed-998d0e1c926f,Mae,"Apk apaan, kalo bikin mah jangan setengah-setengah, kalo gini malah buat petugas nambah pusing. Mending yang buat apk ditingkatkan kalo gak dimudahkan buat uploadnya. Udah upload, masih direvisi lagi, gambar burem, loading lama, kadang juga error, gini aja katanya masih bisa dihack. Aneh emang",1,0,2.41,2.41,2024-02-16 23:33:22,,
55ee3bc5-c3e0-4bae-8476-e35052247abf,ARIF SIDIK PRASETIYO,"Aplikasinya terlalu banyak manual, bukan mempermudah tpi memperlama, penjumlahan masih manual tidak otomatis, jika terjadi ketidak sesuaian suara hanya diberi tanda saja dan tidak bisa mengubah angka yang sebenarnya.ketika kirim foto mental, ketika foto C hasil meskipun buram tapi tetap lolos verifikasi, tidak bisa hapus foto dan edit jumlah suara sebelum mengunci dokumen. Ketika login sulit. Ketika mau kirim pdf ke saksi/pengawas mental lagi, Kalau belum siap jangan dipaksakan",1,3853,2.32,2.32,2024-02-06 22:34:55,,
6705144e-425c-4a39-95e8-5ea7d8a6a7c2,Laras Shantika,"Sering sekali app log out sendiri, hasil gambar jika memang kurang jelas mohon ada peringatannya jadi bisa difoto ulang mengingat fotonya jg tdk bisa diambil dari galeri. Tulisan yg tdk terbaca mohon diberi peringatan jg, karena jika meng klik detail sering terjadi problem shg membuat sulit petugas :(( mohon diperbaiki lagi🙏",1,108,2.41,2.41,2024-02-11 06:43:32,,
e17cd5bd-b5b5-44c8-add2-d777d56b64d5,Gus Rozi,"Buruk sekali perlu di pertanyakan kesiapanya dalam penggunaan Aplikasinya, waktu sudah mepet sekali sampai detik ini tidak bisa digunakan, bolak-balik masuk sulit, setelah berhasil, ke esokan harinya masuk lagi, eh malah Gabisa, bolak-balik restart gonta-ganti pasword 100x kunjungan tidak pernah berhasil masuk, ada apa ini? Memory Hp Lumayan besar, operator hp kuotanya baru saya gunaka 60Giga, terus maslahnya dmn?",1,0,2.32,2.32,2024-02-09 20:49:24,,
709040bc-dce4-47d6-bb1c-7f3040a2f9a7,PUTRA RAMADHAN,"Tolong dong diperbarui, ya kali otentikasi (gagal mendapatkan kunci digital) pada sidik jari gagal mulu (di xiomi redmi, MIUI 14) diganti hanya dengan pola atau pin saja juga sama gagal juga, pencet ulangi bukannya loading malah kek ngeglitch. Ada beberapa Android yg berbeda merek juga mengalami hal yang sama, stuck di otentikasi (gagal mendapatkan kunci digital) dan tombol ulangi yg tidak bisa dipencet. Please la otentikasi kunci digital dihilangkan saja. Update tgl 3 feb, keluhan masih sama.",1,1,,,2024-02-03 16:11:42,,
e719e067-f4a5-4e17-ae4f-902c7252646c,shofia herpi,"Udah di update malah gak bisa masuk ""terjadi kesalahan saat melakukan inisialisasi aplikasi, gagal mendapatkan kunci digital"" Udah ikutin smua cara tapi masih sama gak bisa juga, hampir smua kendala nya gitu, trus pemilihan tinggal berapa hari lagi, tapi apk nya problem smua, katanya mempermudah tapi kok malah gini. Mohon dong solusi nya, udah mumet.",1,31,2.32,2.32,2024-02-07 03:26:25,,
